"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh"
"mu[62] NA",44.6700965454545,44.6713,44.6704220283471,2869.6,0.95,44.333,44.9964
"mu[63] NA",48.7029625454545,48.7033,48.70277356998,8406.9,0.95,48.484,48.9168
"mu[64] NA",57,57,56.9531683798379,0,0.95,57,57
"mu[65] NA",42.9887963454545,43.0284,43.0940428972389,4615.6,0.95,42.5342,43.3707
"mu[66] NA",56.5422495272727,56.53905,56.5265496691782,8821.6,0.95,56.243,56.8628
"mu[67] NA",59,59,58.9515251650954,0,0.95,59,59
"mu[68] NA",53.9685045363636,53.9928,54.0279618845191,7697.3,0.95,53.7644,54.1131
"mu[69] NA",50.6624199454545,50.6484,50.546666199265,7928.7,0.95,49.8238,51.4779
"mu[70] NA",51.5144776363636,51.4566,51.3482774803212,7357.7,0.95,50.7921,52.4341
"mu[71] NA",42.9634908818182,42.9638,42.9669103659785,8388.3,0.95,42.8979,43.0329
"mu[72] NA",44.4910639,44.4739,44.4561877535068,8741.1,0.95,44.2462,44.794
"mu[73] NA",47.6570166636364,47.6638,47.6822723846246,3290.9,0.95,47.5462,47.7591
"mu[74] NA",39.9916109636364,39.90525,39.7840844124902,6385.2,0.95,39.1111,41.0119
"mu[75] NA",49.3688080727273,49.3741,49.3776831620359,6495.8,0.95,49.2411,49.492
"mu[76] NA",53,53,52.956454809323,0,0.95,53,53
"mu[77] NA",50.0537352636364,50.1455,50.2458563161916,6734.2,0.95,48.983,50.9177
"mu[78] NA",50.1755526090909,50.1911,50.2147512513323,7156.9,0.95,50.0054,50.3185
"mu[79] NA",59,59,58.9515251650954,0,0.95,59,59
"mu[80] NA",49.3126568909091,49.308,49.3023166398672,9075.1,0.95,49.0229,49.6363
"mu[81] NA",47,47,46.9613844535506,0,0.95,47,47
"mu[82] NA",50.2130515818182,50.2134,50.2085633871695,6935.3,0.95,50.134,50.2932
"mu[83] NA",41.5065209909091,41.509,41.5040910931897,11000,0.95,41.4239,41.6212
"mu[84] NA",42,42,41.9654924904069,0,0.95,42,42
"mu[85] NA",38,38,37.968778919892,0,0.95,38,38
"mu[86] NA",49.0049182272727,49.0116,49.0173784382024,6852.5,0.95,48.8027,49.1877
"mu[87] NA",53.6237966181818,53.6259,53.6343942752992,6168.7,0.95,53.5651,53.6721
"mu[88] NA",50.5480928,50.5473,50.592565722277,9254.3,0.95,50.022,51.0989
"mu[89] NA",40.9509317545455,40.9655,41.0224834021562,6352.6,0.95,40.3047,41.5781
"mu[90] NA",36,36,35.9704221346345,0,0.95,36,36
"mu[91] NA",44,44,43.9638492756644,0,0.95,44,44
"mu[92] NA",45.4594742636364,45.5533,45.6082219692048,7442.1,0.95,44.8485,45.8392
"mu[93] NA",60,60,59.9507035577241,0,0.95,60,60
"mu[94] NA",52.5202240272727,52.529,52.5461392523649,6645.9,0.95,52.2686,52.7499
"mu[95] NA",63,63,62.9482387356104,0,0.95,63,63
"mu[96] NA",48.6513335727273,48.6311,48.59557037352,9673.5,0.95,48.2174,49.1294
"mu[97] NA",46.7059676272727,46.716,46.7217911808675,5753,0.95,46.5595,46.8337
"mu[98] NA",54.5578668909091,54.5708,54.5893163929952,4296.6,0.95,54.2281,54.8645
"mu[99] NA",60,60,59.9507035577241,0,0.95,60,60
"mu[100] NA",46.8527593,46.8202,46.7606522565417,3248.2,0.95,46.3808,47.4096
"mu[101] NA",37,37,36.9696005272632,0,0.95,37,37
"mu[102] NA",41.3685944,41.3885,41.4004594012955,4707.6,0.95,41.1085,41.5952
"mu[103] NA",56,56,55.9539899872092,0,0.95,56,56
"mu[104] NA",57.0284771,57.02075,57.0353117872097,5267.2,0.95,56.7928,57.2497
"mu[105] NA",54.1688077363636,54.1696,54.1789969310704,5568.4,0.95,54.0247,54.3236
"mu[106] NA",53.5661589727273,53.5807,53.5497331347738,5546.2,0.95,53.0615,54.0581
"mu[107] NA",48.2391130090909,48.2417,48.2356123767881,6085.7,0.95,48.1432,48.3349
"mu[108] NA",40,40,39.9671357051494,0,0.95,40,40
"mu[109] NA",47.2990991272727,47.3052,47.3189612802527,4614,0.95,47.0394,47.5403
